x,y,z,pose_json,contact_area,grasp_width,score,pair_num,edge_num,point_num
39.058960150092304,2.475823232132392,4.262773717268512,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",48.46645811673503,50.34859455182424,0.04252735454053053,1,1,1
35.46624059066458,2.2504739011671373,4.22297615027008,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",112.54645811192773,50.34859455182424,0.2621818836869536,1,1,2
35.50378126902926,2.2876724699527804,0.6233640928466402,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",108.49930022748421,50.34859455182424,0.24896525630269806,1,1,3
35.54132194739394,2.324871038738424,-2.9762479645767996,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",104.45214233312771,50.34859455182424,0.2351902332149443,1,1,4
35.57886262575862,2.362069607524067,-6.575860022000242,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",100.40498443970563,50.34859455182424,0.22086431683642327,1,1,5
35.616403304123295,2.399268176309711,-10.175472079423681,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",96.35782653207771,50.34859455182424,0.2060106559275337,1,1,6
35.653943982487974,2.436466745095354,-13.775084136847124,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",92.31066864092637,50.34859455182424,0.1906648981489369,1,1,7
35.69148466085265,2.473665313880997,-17.374696194270566,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",85.4068034375546,50.34859455182424,0.16532429046717606,1,1,8
35.72902533921733,2.5108638826666407,-20.97430825169401,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",70.5147341603842,50.34859455182424,0.11288797970109876,1,1,9
35.76656601758201,2.548062451452284,-24.57392030911745,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",53.91633259602268,50.34859455182424,0.054396766292902646,1,1,10
31.873521031236862,2.0251245702018825,4.183178583271651,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",176.62645810973012,50.34859455182424,0.48183012054033997,1,1,11
31.91106170960154,2.062323138987525,0.5835665258482097,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",172.5793002254002,50.34859455182424,0.46864792658977106,1,1,12
31.94860238796622,2.099521707773169,-3.0160455315752297,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",168.53214232217883,50.34859455182424,0.4548449284899917,1,1,13
31.986143066330893,2.1367202765588122,-6.615657588998674,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",164.48498443784888,50.34859455182424,0.44043139707608797,1,1,14
32.023683744695575,2.1739188453444553,-10.215269646422112,"[[-0.010427966212410203, -0.010332935773789813, 0.9998922381731782], [-0.9979776553965893, -0.06259703637923746, -0.011054879721786343], [0.06270452017039578, -0.9979853914135373, -0.009659279236530599]]",160.4378265306819,50.34859455182424,0.425438688119385,1,1,15
